"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","28076","","","","0"
"1972-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","30084","","","","0"
"1972-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","29995","","","","0"
"1973-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","29315","","","","0"
"1973-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","32125","","","","0"
"1973-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","35717","","","","0"
"1973-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","35923","","","","0"
"1974-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","35117","","","","0"
"1974-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","37963","","","","0"
"1974-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","43562","","","","0"
"1974-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","41664","","","","0"
"1975-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","39215","","","","0"
"1975-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","42101","","","","0"
"1975-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","49399","","","","0"
"1975-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","47330","","","","0"
"1976-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","46263","","","","0"
"1976-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","50134","","","","0"
"1976-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","56115","","","","0"
"1976-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","53495","","","","0"
"1977-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","52280","","","","0"
"1977-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","54826","","","","0"
"1977-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","61445","","","","0"
"1977-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","59028","","","","0"
"1978-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","57359","","","","0"
"1978-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","60992","","","","0"
"1978-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","68066","","","","0"
"1978-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","65627","","","","0"
"1979-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","64721","","","","0"
"1979-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","70171","","","","0"
"1979-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","77378","","","","0"
"1979-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","75304","","","","0"
"1980-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","74144","","","","0"
"1980-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","77602","","","","0"
"1980-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","86282","","","","0"
"1980-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","84720","","","","0"
"1981-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","84538","","","","0"
"1981-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","89420","","","","0"
"1981-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","99242","","","","0"
"1981-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","95158","","","","0"
"1982-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","91630","","","","0"
"1982-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","94040","","","","0"
"1982-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","103417","","","","0"
"1982-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","99094","","","","0"
"1983-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","96806","","","","0"
"1983-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","101460","","","","0"
"1983-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","113010","","","","0"
"1983-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","110040","","","","0"
"1984-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","107443","","","","0"
"1984-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","112075","","","","0"
"1984-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","122679","","","","0"
"1984-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","119789","","","","0"
"1985-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","116619","","","","0"
"1985-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","120368","","","","0"
"1985-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","132712","","","","0"
"1985-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","130328","","","","0"
"1986-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","124766","","","","0"
"1986-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","127948","","","","0"
"1986-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","138805","","","","0"
"1986-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","135111","","","","0"
"1987-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","133185","","","","0"
"1987-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","139745","","","","0"
"1987-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","151421","","","","0"
"1987-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","149985","","","","0"
"1988-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","148063","","","","0"
"1988-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","153318","","","","0"
"1988-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","163615","","","","0"
"1988-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","161898","","","","0"
"1989-01","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","158215","","","","0"
"1989-04","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","164436","","","","0"
"1989-07","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","176561","","","","0"
"1989-10","Canada","2016A000011124","Unadjusted","Gross domestic product at market prices","Dollars","81","millions","6","v62295576","1.2.14","172367","","","","0"
